Exemplos de ocorridos nos reports (Falas/Chats),Punição aplicada,Assinante?
"macaco, macaco, macaco ruim, fica mutadinho aí, macaquinho - gorilinha, vai carioquinha, vai carioquinha - se foder carioca - horroroso - mutei esse macaco aí - só chamei ele de favelado carioquinha de merda - sai dessa favela que você mora aí - lixo, se mata - sotaque de baiano - frutinho de estupro",BAN,NÃO
"é baiano ainda esse maluco - tem esse pote desse tamanho de cearense e não consegue pensar - ele deve acordar 6 horas pra vender alface, aí no dia da folga dele quer jogar um counter",Cartão 3,NÃO
"pode subir que o macaco já mamou."" - ""Base TR lá dando o cu."" - ""Tomar no cu seu baiano filha da puta."" - ""Ai ó, o baiano do caralho."" - ""Tomar no cu, ô baiano do caralho."" - (imitando sotaque do jogador/debochando) ""É, eu fiz o bagulho, eu sou baiano, é isso aí, isso aí, eu sou baiano."" - ""Vocês são ruim pra caralho."" - ""Vai tomar no teu cu vai ô.",Cartão 5,NÃO
xita macac - macacs,Cartão 4,SIM
"Gordinho burro desgraçado, filha da puta burro",Cartão 1,SIM
"Deve ser um pobre fudido na vida, vai lá pobre, clipa aí, ninguém vai tomar ban não, você é da favela - essa fotinha de viado",Cartão 3,SIM
"veta logo seu mac#co filho da p - arromb@do, uuu áááá",Cartão 5,SIM
"muta todo mundo, porque ficar ouvindo nordestino falar não dá não - na sua geladeira tem água lá mano? - ",Cartão 3,NÃO
"""Vai tomar no cu viado."" - ""Deixar a awp pra mim, baitola."" - ""Filha da puta."" - ""tem um banana igual um doente viado."" - ""De novo, arrombado."" - ""Tomar no cu de vocês vai cara, cês dois cara."" - ""Nem pra me dropar uma awp hein seu pobre."" - ""Macaco."" - ""Já tem cinco arrombado."" - ""Ô roxão, vagabundo."" - ""Ah filha da puta.""",Cartão 5,NÃO
"""Porra, vai tomar no cu, jogaram mal que ele quer ficar latindo, vai se foder cara."" - ""Porra, você tá junto com a tua irmã, aquela galinha, seu filha da puta do caralho."" - ""Vai tomar no cu, mano."" - ""Só pega a restinha ô gari."" - ""Boa macaco."" - ""Se não fosse eu e o azul pra te carregar né, ô chimpanzé."" - ""Tô te chamando de macaco faz hora rapaz."" - ""Irmão, não te chamei de chimpanzé porque você é preto, te chamei de chimpanzé porque você é burro, mano."" - ""Vai chimpanzé."" - ""Carioca é terrorista mesmo né.""",BAN,NÃO
"""Tu é horroroso, ô MegaMen. Não sei como tu tá 19 ainda, mano."" - Olha o nick desse retardado aí.""",Alerta,SIM
"""Vai, ô, filho de uma piranha. Chorão do caralho."" - ""Zé buceta do caralho."" - ""Por isso que eu como sua mãe. Aquela safada.""",Cartão 1,SIM
"""Você é burro!"" - ""Seu inútil!"" - ""Macaco!"" - ""Meu Deus do céu, cara, presta atenção no que tá fazendo cara. Tu é bot, tu é burro, ruim."" - ""Cabaço."" - ""Ruim. Cala a boca, amarelo, seu newba."" - ""Verde, seu imbecil."" - ""Macaco."" - ""newba do caralho."" - ""Você é ruim. Eu né? Seu level 15 fracassado, cara."" - ""Seu retardado."" - ""Retardado, retardado. Cala a boca, retardado. Pobre. Foda-se, pobre."" - ""Morreu, newba. Não matou ninguém."" - ""Level 15 fracassado."" - ""Seu burro doente."" - ""Tu é viadinho, ô roxo. Cala tua boca, seu pobre."" - ""Na boca da sua mãe, aquela puta lá."" - ""Sua mãe caiu da cama aí, ô amarelo."" - ""Tira meu nome da boca, seu nojento."" - ""Favelado."" - ""Então vai lá cara. Dar o cu, do caralho.""",BAN,SIM
seu ruim do caralho - ruim do krl - achou q ia ganhar ne zambia  ai lembrou q eh ruim - mt ruim - vcs sao fracos,Alerta,SIM
"""vai defusa aí o pretinho."" - ""Vai agora nós ganha por causa tua negro, macaco do caralho nordestino..."" - ""cala a boca e o preto."" - ""Compra um mic, compra um mic macaco."" - ""Compra um mic macaco."" - ""Preto compra um mic tá?"" - ""Preto compra um mic decente tá?"" - ""neguinho..."" - ""além de preto é pobre."" - ""gg niggas."" - ""não choras pretos.""",BAN,NÃO
50 tiros pra matar um preto hoje em dia,BAN,NÃO
"Preto macaco, que ban pai, vai denunciar",BAN,NÃO
"Voice: ""Tem nem microfone pobre desgraçado, seu bosta, analfabeto"" - CHAT: ""ta rindo do que mcc? - aquela puta""",Cartão 5,NÃO
"Mata ninguém e chora no mic, padrão, baiano, tudo igual",Cartão 2,SIM
"macaco filho da puta chupa minha piroca - macaquito vagabundo macaquito vagabundo - cala a boca macaquito, cala a boca macaquito - você não tem ""permitido"" falar - cala a boca mono - cala a boca monito - chora macaquito, chora chora",BAN,SIM
morram pretos - preto* ,BAN,NÃO
EAI VADIA? - e TU VAI MORRER SENDO ESTUPRADO PELO SEU PAI - TEU PAI N COME TUA MAE AQUELA CADELA GORDA E COME TU QUE É FEMBOYZINHO - perde o cu pro teu pai - teu pai te estupra bixona,Cartão 4,SIM
É UM MERD4 MSM - JA VIRO MINHA VAGABUND4 - TU É BOST4 MSM,Cartão 2,NÃO
tua maezinha comprou pra ti com o dinheiro da prostituiçao? - favelado carente,Cartão 2,SIM
"sozinho na varanda porque o merda tava off - banga fundo pra gente animal - valeu amarelo ruim lixo pedaço de bosta filha da puta desgraçado arrombado pau no cu, vai se foder seu merda - olhando meu perfil seu bosta lixo do caralho - olha meu perfil viadinho fodido preto desgraçado fodido pau no cu desgraçado",BAN,NÃO
"bora seu merda - seu filho da puta - bora seu merda, level 12 lixo",Alerta,SIM
"vai tomar no cu mano - vai tomar no cu vai - cês não sabem nem jogar a porra desse mapa, cês é horrível - cala a boca, tomar o ban da tua mãe com a boca no meu pau seu arrombado do caralho - horrível, vai se foder, vai se foder vai seu lixo - cê é quem? cê não é ninguém - cê acha que eu jogo nessa plataforma aqui? doente do caralho - horrível ",Cartão 1,SIM
seus macacos - eu sou melhor q vcs - sirvam a mim MACACOS - cesar macaco ,BAN,NÃO
"vocês são um bando de preto viado, já mutei todo mundo aí mano, tomar no cu - ""negaiadazinha"" pobre do caralho - bora jogar macacada",BAN,NÃO
o último tá A ô macaco,Cartão 4,NÃO
"vozinha fina, já contou pro seu pai que você gosta de pinto, já? já foi contar pro seu pai que você gosta de pinto ou ainda não? - não tem o básico do joguinho - pode criar 10 contas que você vai mofar no 15 rei - te ensinar o básico, antes de subir varanda tem que bangar o fundo ô cone fodido de ruim - essas suas 6 kill vou fazer em 3 rounds e vou trollar você o jogo todo",Cartão 1,SIM
"""Ô filho da puta, cala a boca o arrombado do caralho, quem tava away na porra do round era você o seu merdinha imundo sujo, nojento."" - ""Cala a boquinha, cala aí ô seu velho imundo, sujo, arrombado, do caralho."" - ""vai se foder... do caralho."" - ""um doente no time que nem você"" - ""tirando um verme desse da gc"" - ""reportar esse doente do caralho."" - ""uma doença dessa no time""",Cartão 2,NÃO
"filho de uma puta, seu lixo pau pequeno satanás - vai filho da puta, aperta o W bunda mole - os dois virgens estão fora - meu pau entrando em você - pau no cu bunda mole tetudo - pra variar meu pau na tua mão - aquele filha da puta tá respawn pro fundo de novo - se smokar meio eu vou te dar tk satanás demônio - calma gordo - saí correndo e pau no cu de quem tá lendo - ai pega no meu pau - ai vem, põe na minha garganta - aí não boca de leite, tu me fodeu filho da puta - tá aí do teu lado horroroso, aí fodeu boca de leite - morreu de costas boca de leite - ele vai te enfiar o pau - cala tua boca pau no cu - (gritando no microfone) - cala tua boca pau no cu - satanás virgem infeliz - vai chupar piroca - arrebenta o fundo aí pau pequeno",Cartão 3,NÃO
"""Quem foi o preto que falou isso?"" - ""Você não tem nem skin ô viado."" - ""entrega a arma mesmo, bicho burro"" - ""Cara, que cara lixo mano."" - ""se foder mano."" - ""Ô verde, você tá de awp não acerta um tiro viado."" - ""Vocês tão do mesmo viado"" - ""Toma na boquinha pai"" - ""Tinha que ser baiano uma desgraça dessa."" - ""Baiano de bosta""",BAN,SIM
"""que round merda velho"" - ""moleque level 18 horrível"" - ""Porra, kika, kika esse moleque, velho. Fala pra caralho também, joga nada."" - ""Porra, funileiro horroroso mano, tá maluco."" - ""Porra, tem um filha da puta, vai se fuder, ô seu ruim level 18 carregado do caralho, horroroso."" - ""O cara tá trollando a porra da partida."" - ""Ah, tá de moral caralho, otário. Já mutei esse otário também."" - ""Verde ô ruim. Ruim do caralho. Por isso que é um level 18 com 0.80 de KDR. Horroroso, horro, dois horroroso que eu tive que escolher velho. Dois horroroso."" - ""Aqui é gg mano, vai se fuder, sem A, sem nada. Horroroso."" - ""Tá maluco jogar com menos dois, dois idiota."" - ""É assim que level 18 joga ô Buga, horroroso."" - ""O adversário é horroroso também, rapaziada, meu Deus do céu."" - ""é dois horrível velho."" - ""se vocês dois jogassem comigo a gente ganhava essa aqui mas vocês tão o que, tão trollando igual os cara velho."" - ""Pô cara me baitar no meio de novo, vai tomar no cu."" - ""Mano, ele é muito ruim, como é que pega level 18 viado, vai pro x1 de awp.""",Cartão 1,SIM
"""Dá kick sim aí mano, filho da puta."" - ""Ô buga, mas aí tu tá trollando velho. O cara saiu duas, três vezes do respawn dele, avacalhou."" - ""Acho que alguém tem medo de report, cala a boca burro."" - ""Trollou, mano, eu vou jogar foda-se também velho."" - ""Baita de um palhaço, velho."" - ""É, os dois imbecil né mano, deixou os dois imbecil aí."" - ""O cara foi esse 18 aí né, 18 nunca mano. Só olhar a tela dele, foi carregado pelos amigos."" - ""Nossa, que, olha essa desgraça, mano."" - ""Tinha que ser baiano uma desgraça dessa."" - ""Baiano de bosta.""",Cartão 2,SIM
o seu virgem - pq vc baniu mirage favelado - crl imbecil - pobre - carlos prates favelado,Cartão 3,NÃO
"""Vai se fuder seu preto desgraçado""",BAN,SIM
"O pobre, o inseto na sociedade, você é ruim, você é pobre e não tem qualidade de vida"" - (Porém o jogador que ele estava ofendendo era bem tóxico, levou ban)",Cartão 2,SIM
"Chat: ""resto de aborto, cala a boca"" - Voice: ""Cala a boca resto de aborto""",Cartão 2,NÃO
"https://youtu.be/iXo6n6j4HwY - ""Pernambucano tem mais é que se foder velho, reporta lá"" (reportante estava provocando)",Cartão 2,SIM
"https://youtu.be/iXo6n6j4HwY - ""Não tem nem água potável em casa"" - Aliado estava zoando um jogador de pernambucano e este fez o comentário",Cartão 1,NÃO
"""sem amigos, pobre do cacete  - da uma banana pra ele """,Cartão 3,NÃO
"""Filho da puta, viadinho""",Cartão 1,NÃO
"Não jogo esse jogo macaco - foda-se, sulista",Cartão 5,NÃO
"Vai se fuder - você não tem que jogar, não tem que escolher mapa - ah mano vai lavar uma louça vagabunda - Passa seu viado",Cartão 2,SIM
O seu macaco filho de uma puta - olha que macaco ruim mano,Cartão 5,SIM
"""Muta pretinho, muta pretinho. Muta pretinho, muta pretinho."" - ""Perdi o caralho, você é o criolo do caralho. Crioulinho, crioulinho."" - ""Cala a boca, já te falei. Já te falei, César, mutado, César, mutadinho.""",BAN,SIM
"""Ah, xu é o caralho, vai tomar no cu, os cara tá avançando em todo lugar, cês não segura, porra de xu, xu é meu piru."" - ""Caralho, cala a boca, ô macaco, filha da puta, vai se fuder, ô seu merda."" - ""Tá jogando o quê até agora? Seu filho da puta."" - ""Porra, vai se fuder, foda-se, eu quero que você tome dentro do seu cu, ô seu viadinho, pão com ovo do caralho."" - ""Pra puta que pariu, ô seu carente. Tomar no cu. Ai, se fuder."" - ""Pra casa do caralho, ninguém tá falando porra nenhuma contigo, só tem um chola carentando pra caralho, duro, filha da puta, entrando na porra da lobby dos outros, passa fome."" - ""Tomar no cu. Sai dessa porra desse nível aí, depois tu fala alguma coisa."" - ""Valeu, valeu, chupador de linguiça do caralho."" - ""Ai, tomar no cu, cu de moer cana."" - ""Se fuder, só com a piroca de borracha dentro do cu pra quietar, lambendo o umbigo, viadinho do caralho, filha da puta."" - ""Tomar no cu. Resto de aborto do caralho.""",BAN,NÃO
"""Cala a boca, autista gordo."" - ""Vai se fuder, o arrombado."" - ""Vira, vira, verde, vira cabaço."" - ""Filha de uma puta, preto desgraçado."" - ""Tem que se fuder ô, seu carioca de merda, seu bosta."" - ""Tem que passar fome seu inútil, seu bosta."" - ""Cala a boca, seu merda."" - ""Cala a boca, seu bosta, seu merda.""",BAN,NÃO
